year,industry,nova_scotia_wage,canada_wage,market_gap_pct
2022,Health care and social assistance [62],24.83,27.79,-10.65
2022,"Information, culture and recreation [51, 71]",25.0,30.58,-18.25
2022,Accommodation and food services [72],15.0,18.0,-16.67
2022,Other services (except public administration) [81],22.0,25.0,-12.0
2022,Public administration [91],36.92,39.68,-6.96
2023,"Total employees, all industries",26.0,31.0,-16.13
2023,Goods-producing sector,26.25,32.0,-17.97
2023,"Agriculture [111-112, 1100, 1151-1152]",18.5,21.79,-15.1
2023,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",26.78,43.5,-38.44
2023,Utilities [22],38.0,46.9,-18.98
2023,Construction [23],26.0,34.0,-23.53
2023,Manufacturing [31-33],26.41,28.85,-8.46
2023,Services-producing sector,26.0,30.5,-14.75
2023,"Wholesale and retail trade [41, 44-45]",20.0,24.0,-16.67
2023,Transportation and warehousing [48-49],25.55,28.86,-11.47
2023,"Finance, insurance, real estate, rental and leasing [52-53]",28.85,35.71,-19.21
2023,"Professional, scientific and technical services [54]",35.71,39.42,-9.41
2023,"Business, building and other support services [55-56]",19.0,22.98,-17.32
2023,Educational services [61],35.0,38.46,-9.0
2023,Health care and social assistance [62],25.67,28.74,-10.68
2023,"Information, culture and recreation [51, 71]",27.64,31.25,-11.55
2023,Accommodation and food services [72],16.5,19.0,-13.16
2023,Other services (except public administration) [81],23.08,26.21,-11.94
2023,Public administration [91],39.49,40.51,-2.52
2024,"Total employees, all industries",28.0,32.28,-13.26
2024,Goods-producing sector,28.85,33.0,-12.58
2024,"Agriculture [111-112, 1100, 1151-1152]",20.0,23.08,-13.34
2024,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",25.92,45.19,-42.64
2024,Utilities [22],43.0,50.0,-14.0
2024,Construction [23],28.0,35.0,-20.0
2024,Manufacturing [31-33],29.72,30.0,-0.93
2024,Services-producing sector,27.78,32.0,-13.19
2024,"Wholesale and retail trade [41, 44-45]",21.0,25.0,-16.0
2024,Transportation and warehousing [48-49],27.78,30.0,-7.4
2024,"Finance, insurance, real estate, rental and leasing [52-53]",28.85,37.36,-22.78
2024,"Professional, scientific and technical services [54]",38.0,41.6,-8.65
2024,"Business, building and other support services [55-56]",20.0,24.0,-16.67
2024,Educational services [61],36.54,40.0,-8.65
2024,Health care and social assistance [62],28.0,30.0,-6.67
2024,"Information, culture and recreation [51, 71]",26.45,32.0,-17.34
2024,Accommodation and food services [72],17.5,19.86,-11.88
2024,Other services (except public administration) [81],25.0,28.0,-10.71
2024,Public administration [91],40.0,43.0,-6.98
2025,"Total employees, all industries",29.8,33.65,-11.44
2025,Goods-producing sector,28.5,34.36,-17.05
2025,"Agriculture [111-112, 1100, 1151-1152]",20.0,24.14,-17.15
2025,"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]",25.0,47.0,-46.81
2025,Utilities [22],45.05,53.37,-15.59
2025,Construction [23],28.21,36.0,-21.64
2025,Manufacturing [31-33],28.0,31.0,-9.68
2025,Services-producing sector,30.0,33.33,-9.99
2025,"Wholesale and retail trade [41, 44-45]",22.0,25.0,-12.0
2025,Transportation and warehousing [48-49],28.85,30.46,-5.29
2025,"Finance, insurance, real estate, rental and leasing [52-53]",32.05,38.46,-16.67
2025,"Professional, scientific and technical services [54]",38.46,43.27,-11.12
2025,"Business, building and other support services [55-56]",21.0,25.0,-16.0
2025,Educational services [61],39.42,41.76,-5.6
2025,Health care and social assistance [62],32.0,30.85,3.73
2025,"Information, culture and recreation [51, 71]",29.0,34.19,-15.18
2025,Accommodation and food services [72],18.0,20.0,-10.0
2025,Other services (except public administration) [81],27.0,28.57,-5.5
2025,Public administration [91],41.21,44.71,-7.83
